time,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2017-05-07 01:06:38.481 UTC,125,73985,696,11360,0,0,0,0,0.0,0,0,0,0,0,0,0,3,3,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,1,369,369,1,0,2,4,0,0,46,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1494119198120,62499,0,0,0,0,2,1,2,2,2,0,0,3,3,0,0,0,0,0,0,0,38,1,0,0,2048,1,956,2,0,0,0,0,0,0,0,0,18859976,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-07 01:07:38.489 UTC,1154,621406,1368,557512,240,0,283687,756,0.0026649088,0,0,620560,185288,7067480,0,0,121,5,77,43,46,116,5,6792,204538,7187,822,101,43,1,0,112,1077,0,0,75,0,0,0,274884338579,6999,65502,274884335792,6998,13707,6453,24035,0,0,33,NaN,88,10,78,13593,63,268259,0,63,0,1774,194,1580,22742,116730,126891,7,0,0,126844,96044,0,0,0,0,0,0,0,0,1494119198120,62499,0,0,2110328,7984,6998,4335,6998,193,6998,0,0,3,7062,0,0,0,7986,0,101700608,3284,44809692,2768,0,0,545968128,21252,601445649,32890,9610,0,0,33,0,0,188,328,76188536,3,0,0,0,0,0,0,511129,1,0,0,9,0,75,0,0,0,0,0,0,0,0,0,0,0,68127,0,0,6994,0,68130,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-07 01:08:38.496 UTC,7311,648123,1784,578072,240,151,381640,7106,0.018619642,19,0,3573944,975288,28346912,0,20,134,7,195,823,47,131,5,7222,235808,7454,7301,4018,852,211,11,131,12523,12,0,233,278357,0,0,811750941433,14105,2079,811750939421,7106,15258,15187,39248,0,0,36,NaN,524,167,357,14661,124,891751,0,125,0,8080,1511,6569,32749,656829,720447,30,0,0,720355,107986,0,0,0,0,0,0,0,0,1494119198120,62499,0,0,15991772,15293,7106,3750,7106,380,7106,0,0,3,7232,0,0,0,15394,3,594737152,18712,248139303,15027,0,6,689054142,28093,1005798523,48218,15554,0,0,198,0,0,274,482,143802680,4,0,0,0,0,0,0,1161136,0,0,0,8,0,74,0,0,0,0,0,0,0,0,0,0,0,79232,0,0,7080,0,79232,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-07 01:09:38.506 UTC,820,828512,2200,765032,160,1538,513583,16199,0.031541154,67,0,5531864,6210736,62260864,0,7,188,9,476,2907,60,185,6,9023,303448,10165,18006,9458,3218,1102,55,216,32058,55,0,807,435072,1,0,1486063306541,23136,2894,1486063304413,9031,23143,21842,54492,0,0,56,NaN,683,205,478,23104,156,1193405,0,155,0,11708,2436,9272,47617,855096,959443,67,1,0,959358,141445,0,0,1,0,0,0,0,0,1494119198120,62499,0,0,43311029,29206,9030,4054,9030,469,9030,0,0,3,9186,0,0,0,29328,4,850419869,34317,397825962,24204,0,19,763585654,33227,1162985097,58724,17012,2,0,535,1,26,226,499,93236400,4,0,0,0,0,0,0,1527811,7,0,0,13,0,98,0,0,0,0,0,0,0,0,0,0,0,100908,0,0,9003,0,100908,0,0,0,0,0,0,0,158,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-07 01:10:38.510 UTC,3046,908850,3448,843064,240,3678,469693,17139,0.036489792,91,0,6823536,7180856,67421320,0,13,190,9,544,3308,56,188,3,9170,281682,10108,20994,14394,4075,2244,35,221,41955,35,0,1224,394631,1,0,2100240975848,32388,20022382,2100240860201,9252,24662,19364,52840,0,0,50,NaN,1870,524,1346,24268,141,1005113,0,141,0,13339,2106,11233,45701,689122,781659,27,0,0,781604,128768,0,0,0,0,0,0,0,0,1494119198120,62499,0,0,27350217,30360,9252,3734,9253,432,9253,0,0,3,9396,0,0,0,30590,5,714464188,32024,335544954,20695,0,19,761471083,32942,1092511278,54565,16096,3,0,357,1,26,303,483,81535536,3,0,0,0,0,0,0,1308076,6,0,0,7,0,115,0,0,0,0,0,0,0,0,0,0,0,90338,0,0,9225,0,90338,0,0,0,0,0,0,0,731,3,362,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-07 01:11:38.514 UTC,2227,632399,3344,567576,160,4669,363779,15452,0.042476457,163,0,2920128,9685704,57983568,0,39,133,10,486,2414,50,122,8,5493,209564,5841,19475,14075,3337,2544,28,168,39632,27,0,927,317274,1,0,2662883355654,38176,5369,2662883353281,5788,18214,15709,37042,0,0,50,NaN,2269,476,1793,16516,130,780595,0,130,0,10859,1253,9606,28067,547879,624810,11,1,0,624761,92752,0,0,1,0,0,0,0,0,1494119198120,62499,0,0,20142348,23478,5787,3027,5787,420,5787,0,0,3,5918,0,0,0,23735,6,596441496,25060,257251994,16096,0,24,756883670,27157,1050888058,45996,16036,0,0,279,2,55,273,493,61932664,4,0,0,0,0,0,0,1021209,0,0,0,9,0,55,0,0,0,0,0,0,0,0,0,0,0,72465,0,0,5760,0,72465,0,0,0,0,0,0,0,3556,74,1739,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-07 01:12:38.520 UTC,1464,738684,3448,674480,240,3412,345602,10886,0.03149866,142,0,5138168,7926936,40268864,0,16,143,10,369,1356,41,135,6,6482,220369,7517,15177,8745,1886,1547,4,167,27525,4,0,749,296583,2,0,3122445529204,44617,3843,3122445525671,6441,17367,12964,36250,0,0,51,NaN,2119,294,1825,17739,106,580902,0,106,0,8509,741,7768,33578,356055,404310,0,0,0,404277,107522,0,0,0,0,0,0,0,0,1494119198120,62499,0,0,12079520,19596,6442,2828,6442,327,6442,0,0,3,6549,0,0,0,19765,7,404928748,17869,178421917,11202,0,14,698053251,27386,891096216,41623,13905,0,0,150,1,21,257,485,101044976,4,0,0,0,0,0,0,820354,0,0,0,4,0,87,0,0,0,0,0,0,0,0,0,0,0,75416,0,0,6426,0,75415,0,0,0,0,0,0,0,3440,31,1702,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-07 01:13:10.231 UTC,1125,976913,3864,913288,0,1183,217262,3538,0.016284486,34,0,1592112,3739536,15288464,0,34,252,11,176,323,72,227,22,6747,147903,4201,5562,3406,489,801,0,129,10380,0,0,372,166836,3,0,3371549953607,51516,14630,3371549948363,6899,15730,8217,32866,0,0,52,NaN,1259,203,1056,8760,57,248870,0,57,0,3876,432,3444,17918,140060,158701,6,0,0,158684,54346,0,0,0,0,0,0,0,0,1494119198120,62499,0,0,9350442,8028,6899,2011,6899,177,6899,0,0,3,6957,0,0,0,8065,8,166659072,6252,69369162,4451,0,6,421121430,14023,505633849,25353,7593,0,0,132,1,16,154,239,50882256,3,0,0,0,0,0,0,432012,1,0,0,15,0,33,0,0,0,0,0,0,0,0,0,0,0,43399,0,0,6887,0,43399,0,0,0,0,0,0,0,1389,17,685,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-07 01:40:24.830 UTC,1449,139086,3137,75137,0,7,57,27,0.47368422,0,0,0,0,0,0,0,27,3,2,7,11,25,4,0,24,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3371549956049,51517,0,3371549953732,0,0,0,0,0,0,-1,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1494121224401,62499,0,0,0,50,0,0,0,7,0,0,0,3,0,0,0,0,50,0,55296,27,0,0,0,0,741376,113,0,0,0,0,0,0,1,188,5,149,122765016,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-07 01:41:24.842 UTC,1449,180752,4939,116491,312,0,6,2,0.33333334,0,0,0,0,0,0,0,29,6,0,0,13,25,9,0,6,6,0,0,0,0,0,0,0,0,0,0,1,1,0,3371549956049,51517,0,3371549953732,0,0,0,0,0,0,51,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1494121224401,62499,0,0,0,11,0,0,0,4,0,0,0,3,0,0,0,0,11,4,22528,11,0,0,0,3,28317,7,0,0,0,0,0,0,0,0,0,0,182747776,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
